Ticketera,Tipus Event,Recinte,Event,Sessio,Zona Preu,Preu,Data Registre
Janto,Musical, Teatre Tívoli                             - Barcelona                            ,La jaula de las locas, 22 octubre 2020 al 15 noviembre 2020,"Platea F1-10 (Mié, Jue y Vie)",53 euros,05/11/2020 22:52:16
Janto,Musical, Teatre Tívoli                             - Barcelona                            ,La jaula de las locas, 22 octubre 2020 al 15 noviembre 2020,"Platea F1-10 (Vie, Sa y Do)",59 euros,05/11/2020 22:52:16
Janto,Musical, Teatre Tívoli                             - Barcelona                            ,La jaula de las locas, 22 octubre 2020 al 15 noviembre 2020,"Platea F11-22 (Mié, Jue y Vie)",48 euros,05/11/2020 22:52:16
Janto,Musical, Teatre Tívoli                             - Barcelona                            ,La jaula de las locas, 22 octubre 2020 al 15 noviembre 2020,"Platea F11-22 (Vie, Sa y Do)",54 euros,05/11/2020 22:52:16
Janto,Musical, Teatre Tívoli                             - Barcelona                            ,La jaula de las locas, 22 octubre 2020 al 15 noviembre 2020,"Platea F23-26 y Palcos Platea (Mié, Jue y Vie)",43 euros,05/11/2020 22:52:16
Janto,Musical, Teatre Tívoli                             - Barcelona                            ,La jaula de las locas, 22 octubre 2020 al 15 noviembre 2020,"Platea F23-26 y Palcos Platea (Vie, Sa y Do)",49 euros,05/11/2020 22:52:16
Janto,Familiar, Teatre Barts,El Petit Princep, 04 desembre 2020 al 20 desembre 2020,"Platea, Grada Platea, Butaques Club, Llotjes Club",30 euros,05/11/2020 22:52:17
Janto,Magia, Teatre Victoria,Mago Pop – Nada es imposible, 18 setembre 2020 al 14 febrer 2021,Platea fila 1 i platea preferent,65 euros,05/11/2020 22:52:17
Janto,Magia, Teatre Victoria,Mago Pop – Nada es imposible, 18 setembre 2020 al 14 febrer 2021,Platea Principal,60 euros,05/11/2020 22:52:17
Janto,Magia, Teatre Victoria,Mago Pop – Nada es imposible, 18 setembre 2020 al 14 febrer 2021,Platea i Amfiteatre principal,54 euros,05/11/2020 22:52:17
Janto,Magia, Teatre Victoria,Mago Pop – Nada es imposible, 18 setembre 2020 al 14 febrer 2021,Platea pre-fons,46 euros,05/11/2020 22:52:17
Janto,Magia, Teatre Victoria,Mago Pop – Nada es imposible, 18 setembre 2020 al 14 febrer 2021,Platea fons,37 euros,05/11/2020 22:52:17
Janto,Magia, Teatre Victoria,Mago Pop – Nada es imposible, 18 setembre 2020 al 14 febrer 2021,Amfiteatre preferent,59 euros,05/11/2020 22:52:17
