Ticketera,Tipus Event,Recinte,Event,Sessio,Zona Preu,Preu,Data Registre
Koobin,Opera,Opera De Oviedo,Madama Butterfly,lunes- 9 de noviembre de 2020-20:00 h,Palco de Platea ,"181,00 euros",05/11/2020 22:53:42
Koobin,Opera,Opera De Oviedo,Madama Butterfly,lunes- 9 de noviembre de 2020-20:00 h,Butaca de Patio ,"170,00 euros",05/11/2020 22:53:42
Koobin,Opera,Opera De Oviedo,Madama Butterfly,lunes- 9 de noviembre de 2020-20:00 h,Palco de Entresuelo ,"147,00 euros",05/11/2020 22:53:42
Koobin,Opera,Opera De Oviedo,Madama Butterfly,lunes- 9 de noviembre de 2020-20:00 h,Delantera de Entresuelo ,"159,00 euros",05/11/2020 22:53:42
Koobin,Opera,Opera De Oviedo,Madama Butterfly,lunes- 9 de noviembre de 2020-20:00 h,Butaca de Entresuelo ,"170,00 euros",05/11/2020 22:53:42
Koobin,Opera,Opera De Oviedo,Madama Butterfly,lunes- 9 de noviembre de 2020-20:00 h,Palco de Principal ,"91,00 euros",05/11/2020 22:53:42
Koobin,Opera,Opera De Oviedo,Madama Butterfly,lunes- 9 de noviembre de 2020-20:00 h,Principal - Visibilidad parcial ,"76,00 euros",05/11/2020 22:53:42
Koobin,Opera,Opera De Oviedo,Madama Butterfly,lunes- 9 de noviembre de 2020-20:00 h,Delantera y Butaca de Principal ,"125,00 euros",05/11/2020 22:53:42
Koobin,Opera,Opera De Oviedo,Madama Butterfly,lunes- 9 de noviembre de 2020-20:00 h,Delantera y Butaca de Anfiteatro ,"79,00 euros",05/11/2020 22:53:42
Koobin,Opera,Opera De Oviedo,Madama Butterfly,lunes- 9 de noviembre de 2020-20:00 h,Anfiteatro - Visibilidad parcial ,"55,00 euros",05/11/2020 22:53:42
Koobin,Opera,Opera De Oviedo,Madama Butterfly,lunes- 9 de noviembre de 2020-20:00 h,Delantera de General ,"62,00 euros",05/11/2020 22:53:42
Koobin,Opera,Opera De Oviedo,Madama Butterfly,lunes- 9 de noviembre de 2020-20:00 h,Butaca de General ,"51,00 euros",05/11/2020 22:53:42
Koobin,Opera,Opera De Oviedo,Madama Butterfly,lunes- 9 de noviembre de 2020-20:00 h,Visibilidad Escasa o Nula ,"16,00 euros",05/11/2020 22:53:42
Koobin,Opera,Opera De Oviedo,Madama Butterfly,jueves-12 de noviembre de 2020-20:00 h,Palco de Platea ,"181,00 euros",05/11/2020 22:53:43
Koobin,Opera,Opera De Oviedo,Madama Butterfly,jueves-12 de noviembre de 2020-20:00 h,Butaca de Patio ,"170,00 euros",05/11/2020 22:53:43
Koobin,Opera,Opera De Oviedo,Madama Butterfly,jueves-12 de noviembre de 2020-20:00 h,Palco de Entresuelo ,"147,00 euros",05/11/2020 22:53:43
Koobin,Opera,Opera De Oviedo,Madama Butterfly,jueves-12 de noviembre de 2020-20:00 h,Delantera de Entresuelo ,"159,00 euros",05/11/2020 22:53:43
Koobin,Opera,Opera De Oviedo,Madama Butterfly,jueves-12 de noviembre de 2020-20:00 h,Butaca de Entresuelo ,"170,00 euros",05/11/2020 22:53:43
Koobin,Opera,Opera De Oviedo,Madama Butterfly,jueves-12 de noviembre de 2020-20:00 h,Palco de Principal ,"91,00 euros",05/11/2020 22:53:43
Koobin,Opera,Opera De Oviedo,Madama Butterfly,jueves-12 de noviembre de 2020-20:00 h,Principal - Visibilidad parcial ,"76,00 euros",05/11/2020 22:53:43
Koobin,Opera,Opera De Oviedo,Madama Butterfly,jueves-12 de noviembre de 2020-20:00 h,Delantera y Butaca de Principal ,"125,00 euros",05/11/2020 22:53:43
Koobin,Opera,Opera De Oviedo,Madama Butterfly,jueves-12 de noviembre de 2020-20:00 h,Delantera y Butaca de Anfiteatro ,"79,00 euros",05/11/2020 22:53:43
Koobin,Opera,Opera De Oviedo,Madama Butterfly,jueves-12 de noviembre de 2020-20:00 h,Anfiteatro - Visibilidad parcial ,"55,00 euros",05/11/2020 22:53:43
Koobin,Opera,Opera De Oviedo,Madama Butterfly,jueves-12 de noviembre de 2020-20:00 h,Delantera de General ,"62,00 euros",05/11/2020 22:53:43
Koobin,Opera,Opera De Oviedo,Madama Butterfly,jueves-12 de noviembre de 2020-20:00 h,Butaca de General ,"51,00 euros",05/11/2020 22:53:43
Koobin,Opera,Opera De Oviedo,Madama Butterfly,jueves-12 de noviembre de 2020-20:00 h,Visibilidad Escasa o Nula ,"16,00 euros",05/11/2020 22:53:43
Koobin,Opera,Opera De Oviedo,Madama Butterfly,domingo-15 de noviembre de 2020-19:00 h,Palco de Platea ,"167,00 euros",05/11/2020 22:53:43
Koobin,Opera,Opera De Oviedo,Madama Butterfly,domingo-15 de noviembre de 2020-19:00 h,Butaca de Patio ,"156,00 euros",05/11/2020 22:53:43
