Ticketera,Tipus Event,Recinte,Event,Sessio,Zona Preu,Preu,Data Registre
VivaTicket,Opera,TEATRO DEL SILENZIO - LAJATICO (PI) ITALIA,ANDREA BOCELLI IN CONCERTO,il 24/07/2021 ore 20:30,EXECUTIVE, 453.68,31/10/2020 01:46:13
VivaTicket,Opera,TEATRO DEL SILENZIO - LAJATICO (PI) ITALIA,ANDREA BOCELLI IN CONCERTO,il 24/07/2021 ore 20:30,POLTRONISSIMA, 288.32,31/10/2020 01:46:13
VivaTicket,Opera,TEATRO DEL SILENZIO - LAJATICO (PI) ITALIA,ANDREA BOCELLI IN CONCERTO,il 24/07/2021 ore 20:30,PRIMA POLTRONA, 240.62,31/10/2020 01:46:13
VivaTicket,Opera,TEATRO DEL SILENZIO - LAJATICO (PI) ITALIA,ANDREA BOCELLI IN CONCERTO,il 24/07/2021 ore 20:30,SECONDA POLTRONA, 180.20,31/10/2020 01:46:13
VivaTicket,Opera,TEATRO DEL SILENZIO - LAJATICO (PI) ITALIA,ANDREA BOCELLI IN CONCERTO,il 24/07/2021 ore 20:30,POLTRONCINA, 148.40,31/10/2020 01:46:13
VivaTicket,Opera,TEATRO DEL SILENZIO - LAJATICO (PI) ITALIA,ANDREA BOCELLI IN CONCERTO,il 24/07/2021 ore 20:30,TRIBUNA NON NUMERATA, 105.47,31/10/2020 01:46:13
VivaTicket,Teatre,TEATRO EUROPAUDITORIUM - BOLOGNA (BO) ITALIA,LA DIVINA COMMEDIA - OPERA MUSICAL,il 22/01/2021 ore 21:00,PRIMA PLATEA, 43.30,31/10/2020 01:46:27
VivaTicket,Teatre,TEATRO EUROPAUDITORIUM - BOLOGNA (BO) ITALIA,LA DIVINA COMMEDIA - OPERA MUSICAL,il 22/01/2021 ore 21:00,SECONDA PLATEA, 37.30,31/10/2020 01:46:27
VivaTicket,Teatre,TEATRO EUROPAUDITORIUM - BOLOGNA (BO) ITALIA,LA DIVINA COMMEDIA - OPERA MUSICAL,il 22/01/2021 ore 21:00,BALCONATA NORD, 27.30,31/10/2020 01:46:27
VivaTicket,Teatre,TEATRO EUROPAUDITORIUM - BOLOGNA (BO) ITALIA,LA DIVINA COMMEDIA - OPERA MUSICAL,il 23/01/2021 ore 21:00,PRIMA PLATEA, 43.30,31/10/2020 01:46:34
VivaTicket,Teatre,TEATRO EUROPAUDITORIUM - BOLOGNA (BO) ITALIA,LA DIVINA COMMEDIA - OPERA MUSICAL,il 23/01/2021 ore 21:00,SECONDA PLATEA, 37.30,31/10/2020 01:46:34
VivaTicket,Teatre,TEATRO EUROPAUDITORIUM - BOLOGNA (BO) ITALIA,LA DIVINA COMMEDIA - OPERA MUSICAL,il 23/01/2021 ore 21:00,BALCONATA SUD, 27.30,31/10/2020 01:46:34
VivaTicket,Teatre,TEATRO EUROPAUDITORIUM - BOLOGNA (BO) ITALIA,LA DIVINA COMMEDIA - OPERA MUSICAL,il 23/01/2021 ore 21:00,BALCONATA NORD, 27.30,31/10/2020 01:46:34
VivaTicket,Teatre,TEATRO EUROPAUDITORIUM - BOLOGNA (BO) ITALIA,LA DIVINA COMMEDIA - OPERA MUSICAL,il 24/01/2021 ore 16:30,PRIMA PLATEA, 43.30,31/10/2020 01:46:41
VivaTicket,Teatre,TEATRO EUROPAUDITORIUM - BOLOGNA (BO) ITALIA,LA DIVINA COMMEDIA - OPERA MUSICAL,il 24/01/2021 ore 16:30,BALCONATA SUD, 27.30,31/10/2020 01:46:42
VivaTicket,Teatre,TEATRO EUROPAUDITORIUM - BOLOGNA (BO) ITALIA,LA DIVINA COMMEDIA - OPERA MUSICAL,il 24/01/2021 ore 16:30,BALCONATA NORD, 27.30,31/10/2020 01:46:42
